Codage,_id,actionType,creationDate,date,game_id,group_id,grpus_id,help,id,isWon,item_id,item_size,level_id,logType,message,mode_of_use,reason,resourceType,resourceTypeMoU,resource_id,resource_size,resource_title,rightsAgreements,user_id
,6267a0cf98c0f1a79ae3d895,addToFridge,1964,31/03/2015 09:13:29,62,8,8,,3047,true,547,1 article,1,addToFridge,,assessments,,journal,journalassessments,119,/,Le Nouvel,"Droits d'auteur CFC",27
H,6267a0cf98c0f1a79ae3d896,chat,,31/03/2015 09:13:33,62,8,8,,3048,true,,,1,chat,tu n ens fais pas des photocopies,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d897,showItemTAMAGO,2013,31/03/2015 09:13:40,62,8,8,,3049,true,322,25,1,showItem,,assessments,,book,bookassessments,41,/230,"A l'école","Droits d'auteur CFC",26
,6267a0cf98c0f1a79ae3d898,helpLink,,31/03/2015 09:13:50,62,8,8,Accès aide en ligne,3050,true,,,1,helpLink,,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d89a,showItemTAMAGO,1898,31/03/2015 09:14:12,62,8,8,,3052,true,521,6 articles,1,showItem,,printedCopies,,journal,journalprintedCopies,111,/,Journal de,Domaine public,26
Q,6267a0cf98c0f1a79ae3d89b,chat,,31/03/2015 09:14:21,62,8,8,,3053,true,,,1,chat,"Penses-tu qu'un article de journal peut etre photocopié?",,,,,,/,,,27
F,6267a0cf98c0f1a79ae3d89d,chat,,31/03/2015 09:14:27,62,8,8,,3055,true,,,1,chat,par contre le journal de l information est domaine public,,,,,,/,,,26
F,6267a0cf98c0f1a79ae3d89e,chat,,31/03/2015 09:14:29,62,8,8,,3056,true,,,1,chat,donc on peut,,,,,,/,,,26
H,6267a0cf98c0f1a79ae3d89f,chat,,31/03/2015 09:14:41,62,8,8,,3057,true,,,1,chat,"je pense pas si c'est pas domaine public...",,,,,,/,,,26
H,6267a0cf98c0f1a79ae3d8a0,chat,,31/03/2015 09:14:48,62,8,8,,3058,true,,,1,chat,"Dans ce cas, essayons le Nouvel Observateur en copie d'examen.",,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8a1,showItemFRIDGE,1964,31/03/2015 09:14:50,62,8,8,,3059,true,547,1 article,1,showItemFRIDGE,,assessments,,journal,journalassessments,119,/,Le Nouvel,"Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d8a2,feedTamagoGood,1964,31/03/2015 09:14:56,62,8,8,,3060,true,547,1 article,1,feedTamago,,assessments,,journal,journalassessments,119,/,Le Nouvel,"Droits d'auteur CFC",27
OJ,6267a0cf98c0f1a79ae3d8a3,chat,,31/03/2015 09:15:09,62,8,8,,3061,true,,,1,chat,Excellent.,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8a4,showItemCUPBOARD,2005,31/03/2015 09:15:17,62,8,8,,3062,true,490,3 articles,1,showItemCUPBOARD,,,,journal,journal,105,/,20 minutes,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8a5,showItemCUPBOARD,1639,31/03/2015 09:15:24,62,8,8,,3063,true,144,intégrale,1,showItemCUPBOARD,,,,book,book,3,/124 p.,"L'illusion",Domaine Public,27
,6267a0cf98c0f1a79ae3d8a6,showItemCUPBOARD,1913,31/03/2015 09:15:25,62,8,8,,3064,true,335,intégrale,1,showItemCUPBOARD,,,,book,book,43,/,Le Grand M,Domaine Public,26
F,6267a0cf98c0f1a79ae3d8a7,chat,,31/03/2015 09:15:49,62,8,8,,3065,true,,,1,chat,"L'Illusion comique est dans le domaine public. Je vais donc la mettre en copie d'examen.",,,,,,/,,,27
F,6267a0cf98c0f1a79ae3d8a8,chat,,31/03/2015 09:15:49,62,8,8,,3066,true,,,1,chat,par contre le grand meaulnes est domaine public : je vais essayer de donner des photocopies,,,,,,/,,,26
O,6267a0cf98c0f1a79ae3d8a9,chat,,31/03/2015 09:15:56,62,8,8,,3067,true,,,1,chat,ok vas y,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8aa,addToFridge,1639,31/03/2015 09:16:03,62,8,8,,3068,true,144,intégrale,1,addToFridge,,printedCopies,,book,bookprintedCopies,3,/124 p.,"L'illusion",Domaine Public,27
,6267a0cf98c0f1a79ae3d8ac,feedTamagoGood,1639,31/03/2015 09:16:06,62,8,8,,3070,true,144,intégrale,1,feedTamago,,printedCopies,,book,bookprintedCopies,3,/124 p.,"L'illusion",Domaine Public,27
,6267a0cf98c0f1a79ae3d8ad,addToFridge,1913,31/03/2015 09:16:08,62,8,8,,3071,true,335,intégrale,1,addToFridge,,printedCopies,,book,bookprintedCopies,43,/,Le Grand M,Domaine Public,26
,6267a0cf98c0f1a79ae3d8ae,feedTamagoGood,1913,31/03/2015 09:16:10,62,8,8,,3072,true,335,intégrale,1,feedTamago,,printedCopies,,book,bookprintedCopies,43,/,Le Grand M,Domaine Public,26
,6267a0cf98c0f1a79ae3d8af,fillCupboard,,31/03/2015 09:16:10,63,8,8,,3073,true,,,2,fillCupboard,,,,,,,/,,,
OJ,6267a0cf98c0f1a79ae3d8b0,chat,,31/03/2015 09:16:31,63,8,8,,3074,true,,,2,chat,On a gagné le premier niveau. Voyons le niveau suivant.,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8b1,tuto,,31/03/2015 09:16:36,63,8,8,,3075,true,,,2,tuto,,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8b3,helpLink,,31/03/2015 09:16:39,63,8,8,Accès aide en ligne,3077,true,,,2,helpLink,,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d8b5,showItemCUPBOARD,1944,31/03/2015 09:16:45,63,8,8,,3079,true,559,1 article,2,showItemCUPBOARD,,,,journal,journal,121,/,Le Monde,"Droits d'auteur CFC",27
