id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
177;2000-01-01 00:20:29;showItemCUPBOARD;20;57;book;;2
178;2000-01-01 00:20:48;addToFridge;20;55;printedmusicintranet;;532
179;2000-01-01 00:20:50;showItemCUPBOARD;20;57;journal;;126
180;2000-01-01 00:20:52;feedTamagoGood;20;55;printedmusicintranet;;532
181;2000-01-01 00:21:03;showItemCUPBOARD;20;55;image;;414
182;2000-01-01 00:21:04;showItemCUPBOARD;20;56;image;;401
183;2000-01-01 00:21:13;addToFridge;20;57;journaldigitalMedia;;126
184;2000-01-01 00:21:17;addToFridge;20;55;imagedigitalMedia;;414
185;2000-01-01 00:21:18;feedTamagoGood;20;57;journaldigitalMedia;;126
186;2000-01-01 00:21:22;feedTamagoGood;20;55;imagedigitalMedia;;414
187;2000-01-01 00:21:22;fillCupboard;20;;;;
188;2000-01-01 00:21:33;showItemCUPBOARD;20;56;book;;10
189;2000-01-01 00:21:48;showItemCUPBOARD;20;56;book;;43
190;2000-01-01 00:21:51;showItemCUPBOARD;20;57;journal;;124
191;2000-01-01 00:21:54;showItemCUPBOARD;20;55;book;;10
192;2000-01-01 00:22:04;addToFridge;20;57;journalphotocopy;;124
193;2000-01-01 00:22:06;addToFridge;20;56;bookintranet;;43
194;2000-01-01 00:22:07;feedTamagoGood;20;57;journalphotocopy;;124
195;2000-01-01 00:22:09;feedTamagoGood;20;56;bookintranet;;43
196;2000-01-01 00:22:14;showItemCUPBOARD;20;57;video;;211
197;2000-01-01 00:22:16;showItemCUPBOARD;20;56;book;;10
199;2000-01-01 00:22:22;showItemCUPBOARD;20;57;journal;;124
200;2000-01-01 00:22:29;showItemCUPBOARD;20;56;video;;211
202;2000-01-01 00:22:37;showItemCUPBOARD;20;56;image;;406
204;2000-01-01 00:22:52;addToFridge;20;57;journalintranet;;124
205;2000-01-01 00:22:54;feedTamagoGood;20;57;journalintranet;;124
206;2000-01-01 00:22:54;showItemCUPBOARD;20;55;image;;403
207;2000-01-01 00:23:02;addToFridge;20;56;imageassessments;;406
208;2000-01-01 00:23:05;feedTamagoBad;20;56;imageassessments;;406
209;2000-01-01 00:23:06;showItemCUPBOARD;20;55;video;;223
210;2000-01-01 00:23:08;showItemCUPBOARD;20;57;book;;9
211;2000-01-01 00:23:09;showItemCUPBOARD;20;56;book;;9
212;2000-01-01 00:23:19;showItemCUPBOARD;20;55;book;;34
213;2000-01-01 00:23:21;addToFridge;20;56;bookassessments;;9
214;2000-01-01 00:23:24;feedTamagoGood;20;56;bookassessments;;9
215;2000-01-01 00:23:24;addToFridge;20;57;bookprintedCopies;;9
216;2000-01-01 00:23:27;feedTamagoBad;20;57;bookprintedCopies;;9
217;2000-01-01 00:23:32;showItemCUPBOARD;20;56;image;;401
218;2000-01-01 00:23:48;addToFridge;20;56;imageintranet;;401
219;2000-01-01 00:23:50;feedTamagoBad;20;56;imageintranet;;401
220;2000-01-01 00:23:51;showItemCUPBOARD;20;57;image;;403
221;2000-01-01 00:23:58;showItemCUPBOARD;20;56;printedmusic;;531
222;2000-01-01 00:24:00;showItemCUPBOARD;20;57;sound;;333
223;2000-01-01 00:24:03;showItemCUPBOARD;20;56;printedmusic;;529
224;2000-01-01 00:24:13;addToFridge;20;56;printedmusicprintedCopies;;529
225;2000-01-01 00:24:15;feedTamagoBad;20;56;printedmusicprintedCopies;;529
226;2000-01-01 00:24:16;showItemCUPBOARD;20;57;sound;;315
227;2000-01-01 00:24:32;showItemCUPBOARD;20;55;book;;10
228;2000-01-01 00:24:39;addToFridge;20;57;soundassessments;;315
229;2000-01-01 00:24:40;feedTamagoGood;20;57;soundassessments;;315
230;2000-01-01 00:24:46;showItemCUPBOARD;20;55;image;;412
231;2000-01-01 00:24:56;showItemCUPBOARD;20;57;sound;;338
232;2000-01-01 00:24:57;showItemCUPBOARD;20;56;book;;34
233;2000-01-01 00:25:05;addToFridge;20;55;imageassessments;;412
234;2000-01-01 00:25:12;feedTamagoGood;20;55;imageassessments;;412
235;2000-01-01 00:25:14;addToFridge;20;56;bookphotocopy;;34
236;2000-01-01 00:25:16;showItemCUPBOARD;20;55;journal;;117
237;2000-01-01 00:25:20;showItemCUPBOARD;20;57;journal;;100
238;2000-01-01 00:25:26;showItemCUPBOARD;20;56;journal;;110
239;2000-01-01 00:25:28;showItemCUPBOARD;20;57;video;;211
240;2000-01-01 00:25:32;showItemCUPBOARD;20;57;printedmusic;;529
241;2000-01-01 00:25:37;helpLink;20;56;;Accès aide en ligne;
242;2000-01-01 00:25:37;showItemCUPBOARD;20;57;video;;223
